donation_id,donor_id,category,condition,quantity,city,timestamp,matched_ngo,status
DN000001,D00076,formal,good,7,Bengaluru,2025-04-05,NGO0089,pending
DN000002,D00500,casual,excellent,6,Ahmedabad,2025-04-13,NGO0049,pending
DN000003,D00142,shoes,good,17,Hyderabad,2025-10-12,,approved
DN000004,D00276,casual,excellent,14,Delhi,2025-03-28,NGO0015,approved
DN000005,D00315,shoes,excellent,1,Jaipur,2025-03-21,NGO0074,pending
DN000006,D00155,accessories,good,6,Chennai,2024-12-23,NGO0040,delivered
DN000007,D00183,children,excellent,5,Ahmedabad,2025-02-15,,matched
DN000008,D00073,shoes,excellent,18,Bengaluru,2025-10-09,NGO0039,matched
DN000009,D00344,outerwear,good,12,Delhi,2025-01-30,NGO0035,pending
DN000010,D00343,accessories,fair,10,Lucknow,2024-11-29,,approved
DN000011,D00098,accessories,good,12,Mumbai,2025-06-25,NGO0064,approved
DN000012,D00306,shoes,excellent,20,Mumbai,2025-09-11,,pending
DN000013,D00419,outerwear,excellent,11,Chennai,2025-01-03,NGO0062,matched
DN000014,D00416,formal,fair,18,Kolkata,2025-05-29,NGO0003,matched
DN000015,D00140,formal,excellent,15,Ahmedabad,2025-09-02,,pending
DN000016,D00040,outerwear,good,11,Bengaluru,2024-12-11,NGO0083,matched
DN000017,D00083,accessories,fair,2,Delhi,2025-01-14,NGO0060,pending
DN000018,D00457,formal,excellent,19,Bengaluru,2025-02-18,NGO0087,pending
DN000019,D00032,formal,good,3,Bengaluru,2025-03-29,NGO0001,delivered
DN000020,D00302,accessories,fair,7,Pune,2025-08-12,NGO0093,pending
DN000021,D00102,outerwear,fair,18,Ahmedabad,2025-07-23,,delivered
DN000022,D00402,shoes,excellent,9,Delhi,2025-02-26,NGO0055,approved
DN000023,D00499,children,good,20,Jaipur,2025-05-13,NGO0061,matched
DN000024,D00216,shoes,excellent,2,Kolkata,2025-01-20,NGO0089,matched
DN000025,D00260,children,fair,5,Mumbai,2024-12-30,,matched
DN000026,D00231,children,excellent,7,Bengaluru,2025-09-13,,matched
DN000027,D00283,formal,good,10,Lucknow,2025-05-23,,matched
DN000028,D00178,shoes,excellent,20,Jaipur,2025-03-09,NGO0047,delivered
DN000029,D00277,outerwear,good,6,Delhi,2024-11-17,NGO0033,matched
DN000030,D00351,casual,excellent,5,Chennai,2025-08-28,NGO0075,approved
DN000031,D00309,children,excellent,2,Hyderabad,2024-11-15,NGO0050,delivered
DN000032,D00047,formal,fair,11,Kolkata,2024-12-11,,delivered
DN000033,D00203,shoes,excellent,3,Bengaluru,2025-02-21,NGO0013,pending
DN000034,D00253,accessories,excellent,9,Bengaluru,2025-09-09,NGO0020,approved
DN000035,D00085,outerwear,fair,8,Pune,2025-01-07,NGO0065,matched
DN000036,D00086,shoes,fair,20,Bengaluru,2024-11-15,,delivered
DN000037,D00218,outerwear,good,12,Lucknow,2025-04-11,NGO0018,approved
DN000038,D00028,accessories,fair,12,Hyderabad,2024-11-26,,pending
DN000039,D00207,children,good,19,Bengaluru,2025-08-20,NGO0003,pending
DN000040,D00277,children,good,8,Delhi,2025-05-09,NGO0018,approved
DN000041,D00109,children,excellent,4,Bengaluru,2025-10-23,,approved
DN000042,D00412,accessories,excellent,11,Hyderabad,2025-09-04,,delivered
DN000043,D00492,shoes,excellent,9,Kolkata,2025-09-10,NGO0036,approved
DN000044,D00447,casual,fair,3,Mumbai,2025-01-17,NGO0010,delivered
DN000045,D00392,accessories,good,8,Delhi,2025-07-11,NGO0069,pending
DN000046,D00088,children,fair,3,Delhi,2025-08-31,,delivered
DN000047,D00089,outerwear,good,4,Chennai,2025-11-09,NGO0019,pending
DN000048,D00171,outerwear,excellent,11,Lucknow,2025-09-08,NGO0028,matched
DN000049,D00050,accessories,good,9,Chennai,2024-12-09,,matched
DN000050,D00155,formal,good,2,Chennai,2025-05-30,NGO0016,pending
