donor_id,name,city,reliability_score,past_donations,flagged
D00001,Donor 1,Kolkata,0.57,17,False
D00002,Donor 2,Chennai,0.81,1,False
D00003,Donor 3,Jaipur,0.97,18,False
D00004,Donor 4,Chennai,0.55,3,False
D00005,Donor 5,Jaipur,0.9,7,False
D00006,Donor 6,Bengaluru,0.93,12,False
D00007,Donor 7,Delhi,0.7,9,False
D00008,Donor 8,Jaipur,0.94,8,False
D00009,Donor 9,Mumbai,0.71,18,False
D00010,Donor 10,Jaipur,0.68,18,False
D00011,Donor 11,Delhi,0.91,1,False
D00012,Donor 12,Hyderabad,0.55,10,False
D00013,Donor 13,Chennai,0.53,9,False
D00014,Donor 14,Chennai,0.78,2,True
D00015,Donor 15,Pune,0.58,9,False
D00016,Donor 16,Chennai,0.55,9,False
D00017,Donor 17,Hyderabad,0.91,1,False
D00018,Donor 18,Jaipur,0.63,8,False
D00019,Donor 19,Chennai,0.84,17,False
D00020,Donor 20,Chennai,0.92,18,False
D00021,Donor 21,Jaipur,0.78,8,False
D00022,Donor 22,Pune,0.62,7,False
D00023,Donor 23,Jaipur,0.95,4,False
D00024,Donor 24,Delhi,0.55,9,False
D00025,Donor 25,Kolkata,0.54,15,False
D00026,Donor 26,Jaipur,0.73,11,False
D00027,Donor 27,Chennai,0.54,13,False
D00028,Donor 28,Hyderabad,0.69,11,False
D00029,Donor 29,Ahmedabad,0.52,18,True
D00030,Donor 30,Chennai,0.73,18,False
D00031,Donor 31,Mumbai,0.72,7,False
D00032,Donor 32,Bengaluru,0.94,11,False
D00033,Donor 33,Bengaluru,0.64,3,False
D00034,Donor 34,Jaipur,0.79,12,False
D00035,Donor 35,Pune,0.71,4,False
D00036,Donor 36,Chennai,0.64,19,True
D00037,Donor 37,Delhi,0.97,6,False
D00038,Donor 38,Pune,0.73,1,False
D00039,Donor 39,Hyderabad,0.82,6,False
D00040,Donor 40,Bengaluru,0.82,6,False
D00041,Donor 41,Ahmedabad,0.71,15,False
D00042,Donor 42,Pune,0.72,12,False
D00043,Donor 43,Mumbai,0.87,7,False
D00044,Donor 44,Bengaluru,0.55,8,False
D00045,Donor 45,Hyderabad,0.94,9,False
D00046,Donor 46,Pune,0.53,5,False
D00047,Donor 47,Kolkata,0.62,14,False
D00048,Donor 48,Jaipur,0.68,11,False
D00049,Donor 49,Chennai,0.71,0,False
D00050,Donor 50,Chennai,0.86,16,False
D00051,Donor 51,Lucknow,0.9,9,False
D00052,Donor 52,Bengaluru,0.53,16,False
D00053,Donor 53,Mumbai,0.68,15,False
D00054,Donor 54,Bengaluru,0.98,17,False
D00055,Donor 55,Jaipur,0.96,15,False
D00056,Donor 56,Delhi,0.9,13,False
D00057,Donor 57,Bengaluru,0.5,0,False
D00058,Donor 58,Delhi,0.91,20,False
D00059,Donor 59,Jaipur,0.55,5,False
D00060,Donor 60,Lucknow,0.61,6,False
D00061,Donor 61,Pune,0.76,18,False
D00062,Donor 62,Jaipur,0.85,9,False
D00063,Donor 63,Lucknow,0.79,7,False
D00064,Donor 64,Pune,0.68,6,False
D00065,Donor 65,Kolkata,0.65,5,False
D00066,Donor 66,Chennai,0.51,10,False
D00067,Donor 67,Ahmedabad,0.79,3,False
D00068,Donor 68,Pune,0.77,19,False
D00069,Donor 69,Mumbai,0.84,11,False
D00070,Donor 70,Delhi,0.86,9,False
D00071,Donor 71,Delhi,0.77,2,False
D00072,Donor 72,Hyderabad,0.91,13,False
D00073,Donor 73,Bengaluru,0.76,17,False
D00074,Donor 74,Ahmedabad,0.56,7,False
D00075,Donor 75,Mumbai,0.84,7,False
D00076,Donor 76,Bengaluru,0.96,10,False
D00077,Donor 77,Ahmedabad,0.91,18,True
D00078,Donor 78,Bengaluru,0.98,2,False
D00079,Donor 79,Lucknow,0.6,10,False
D00080,Donor 80,Delhi,0.52,6,False
D00081,Donor 81,Kolkata,0.77,1,True
D00082,Donor 82,Pune,0.7,4,False
D00083,Donor 83,Delhi,0.69,12,False
D00084,Donor 84,Chennai,0.81,13,False
D00085,Donor 85,Pune,0.81,13,False
D00086,Donor 86,Bengaluru,0.93,17,False
D00087,Donor 87,Ahmedabad,0.73,7,False
D00088,Donor 88,Delhi,0.78,14,False
D00089,Donor 89,Chennai,0.56,2,False
D00090,Donor 90,Hyderabad,0.66,3,False
D00091,Donor 91,Jaipur,0.8,7,False
D00092,Donor 92,Mumbai,0.58,7,True
D00093,Donor 93,Hyderabad,0.83,14,False
D00094,Donor 94,Bengaluru,0.9,0,False
D00095,Donor 95,Kolkata,0.68,18,False
D00096,Donor 96,Lucknow,0.59,9,False
D00097,Donor 97,Bengaluru,0.93,8,False
D00098,Donor 98,Mumbai,0.68,19,False
D00099,Donor 99,Hyderabad,0.82,12,False
D00100,Donor 100,Kolkata,0.86,3,True
D00101,Donor 101,Lucknow,0.96,5,False
D00102,Donor 102,Ahmedabad,0.9,19,False
