ngo_id,name,city,categories_accepted,capacity,urgent_need
NGO0001,NGO 1,Lucknow,"shoes,formal",206,True
NGO0002,NGO 2,Lucknow,"shoes,accessories,casual",65,True
NGO0003,NGO 3,Kolkata,"casual,shoes",161,False
NGO0004,NGO 4,Chennai,"accessories,formal,children",181,False
NGO0005,NGO 5,Jaipur,"formal,shoes,outerwear",272,True
NGO0006,NGO 6,Delhi,"formal,casual,accessories,shoes",92,True
NGO0007,NGO 7,Bengaluru,"accessories,children,shoes",226,True
NGO0008,NGO 8,Mumbai,"children,accessories",270,True
NGO0009,NGO 9,Kolkata,"children,casual,shoes,accessories",270,True
NGO0010,NGO 10,Pune,"casual,formal",210,True
NGO0011,NGO 11,Kolkata,"accessories,outerwear",143,True
NGO0012,NGO 12,Bengaluru,"outerwear,casual,children",86,True
NGO0013,NGO 13,Pune,"casual,shoes,accessories,outerwear",264,True
NGO0014,NGO 14,Chennai,"formal,children,casual,outerwear",280,True
NGO0015,NGO 15,Lucknow,"accessories,shoes,casual,children",145,False
NGO0016,NGO 16,Bengaluru,"shoes,children,outerwear",163,False
NGO0017,NGO 17,Lucknow,"formal,children,shoes,casual",89,True
NGO0018,NGO 18,Chennai,"children,formal,shoes",192,True
NGO0019,NGO 19,Jaipur,"children,shoes",51,True
NGO0020,NGO 20,Mumbai,"outerwear,accessories",195,False
NGO0021,NGO 21,Ahmedabad,"casual,formal,shoes",296,True
NGO0022,NGO 22,Kolkata,"children,shoes,casual,formal",120,False
NGO0023,NGO 23,Lucknow,"casual,children",111,False
NGO0024,NGO 24,Bengaluru,"outerwear,formal,casual,children",84,True
NGO0025,NGO 25,Chennai,"formal,children,shoes",213,True
NGO0026,NGO 26,Bengaluru,"outerwear,formal,shoes,casual",294,False
NGO0027,NGO 27,Lucknow,"casual,children,formal",61,False
NGO0028,NGO 28,Chennai,"outerwear,shoes,accessories,children",233,True
NGO0029,NGO 29,Delhi,"children,accessories,formal",291,True
NGO0030,NGO 30,Bengaluru,"outerwear,children,shoes,casual",270,True
NGO0031,NGO 31,Kolkata,"children,casual,outerwear",97,False
NGO0032,NGO 32,Pune,"shoes,accessories,children",50,True
NGO0033,NGO 33,Delhi,"formal,casual",90,True
NGO0034,NGO 34,Hyderabad,"casual,shoes",214,True
NGO0035,NGO 35,Bengaluru,"accessories,outerwear,children,formal",129,True
NGO0036,NGO 36,Mumbai,"formal,accessories,casual,children",242,True
NGO0037,NGO 37,Mumbai,"shoes,formal",238,False
NGO0038,NGO 38,Ahmedabad,"children,outerwear,formal,casual",99,True
NGO0039,NGO 39,Kolkata,"outerwear,accessories,casual",286,True
NGO0040,NGO 40,Lucknow,"children,casual",214,False
NGO0041,NGO 41,Chennai,"outerwear,children,accessories,shoes",104,True
NGO0042,NGO 42,Hyderabad,"shoes,children,accessories,casual",284,False
NGO0043,NGO 43,Lucknow,"children,formal,shoes",197,True
NGO0044,NGO 44,Mumbai,"formal,accessories,casual,shoes",138,False
NGO0045,NGO 45,Kolkata,"children,formal,accessories",157,True
NGO0046,NGO 46,Mumbai,"shoes,casual,accessories,formal",215,False
NGO0047,NGO 47,Mumbai,"casual,children,outerwear,formal",288,False
NGO0048,NGO 48,Kolkata,"formal,accessories",255,True
NGO0049,NGO 49,Jaipur,"formal,accessories,children",213,False
NGO0050,NGO 50,Jaipur,"formal,shoes,casual,outerwear",195,True
NGO0051,NGO 51,Chennai,"children,outerwear",294,True
NGO0052,NGO 52,Bengaluru,"shoes,casual,outerwear",71,False
NGO0053,NGO 53,Hyderabad,"children,casual,shoes,formal",217,True
NGO0054,NGO 54,Delhi,"shoes,casual,children,accessories",245,False
NGO0055,NGO 55,Kolkata,"accessories,outerwear,casual,formal",286,False
NGO0056,NGO 56,Hyderabad,"casual,shoes,accessories",235,True
NGO0057,NGO 57,Pune,"accessories,outerwear,children",205,False
NGO0058,NGO 58,Pune,"outerwear,formal",202,True
NGO0059,NGO 59,Ahmedabad,"accessories,formal,outerwear",105,True
NGO0060,NGO 60,Jaipur,"outerwear,children,accessories,formal",276,False
NGO0061,NGO 61,Chennai,"outerwear,children,casual,accessories",206,False
NGO0062,NGO 62,Mumbai,"outerwear,formal,shoes",186,True
NGO0063,NGO 63,Lucknow,"formal,children",131,False
NGO0064,NGO 64,Jaipur,"casual,outerwear,children,formal",206,False
NGO0065,NGO 65,Jaipur,"shoes,formal",140,True
NGO0066,NGO 66,Kolkata,"accessories,outerwear,casual",197,True
NGO0067,NGO 67,Chennai,"accessories,outerwear",257,False
NGO0068,NGO 68,Lucknow,"children,casual,accessories,shoes",249,False
NGO0069,NGO 69,Delhi,"casual,outerwear,children,shoes",86,True
NGO0070,NGO 70,Hyderabad,"formal,shoes,casual,outerwear",54,True
NGO0071,NGO 71,Bengaluru,"accessories,shoes,outerwear",221,True
NGO0072,NGO 72,Delhi,"children,accessories,casual",121,True
NGO0073,NGO 73,Hyderabad,"formal,shoes",158,True
NGO0074,NGO 74,Kolkata,"casual,formal,outerwear,children",225,False
NGO0075,NGO 75,Mumbai,"children,formal,shoes",86,False
NGO0076,NGO 76,Pune,"accessories,formal,casual,shoes",264,True
NGO0077,NGO 77,Pune,"shoes,accessories,formal,casual",239,False
NGO0078,NGO 78,Pune,"accessories,children,shoes",94,True
NGO0079,NGO 79,Lucknow,"casual,shoes,accessories,outerwear",121,False
NGO0080,NGO 80,Ahmedabad,"accessories,outerwear,formal",236,False
NGO0081,NGO 81,Kolkata,"accessories,children,formal",58,False
NGO0082,NGO 82,Lucknow,"casual,formal,accessories",220,True
NGO0083,NGO 83,Lucknow,"accessories,formal",93,True
NGO0084,NGO 84,Bengaluru,"children,accessories,shoes",290,True
NGO0085,NGO 85,Chennai,"formal,accessories,outerwear",288,True
NGO0086,NGO 86,Chennai,"shoes,outerwear,children,casual",266,True
NGO0087,NGO 87,Pune,"formal,outerwear,shoes,children",111,True
NGO0088,NGO 88,Jaipur,"formal,accessories,casual",245,True
NGO0089,NGO 89,Bengaluru,"children,shoes,casual,accessories",244,False
NGO0090,NGO 90,Bengaluru,"shoes,outerwear,children",276,False
NGO0091,NGO 91,Mumbai,"children,accessories",183,True
NGO0092,NGO 92,Chennai,"formal,children,casual",257,False
NGO0093,NGO 93,Delhi,"formal,children,outerwear,accessories",75,False
NGO0094,NGO 94,Ahmedabad,"formal,shoes,casual",271,True
NGO0095,NGO 95,Chennai,"children,accessories,outerwear,casual",128,True
NGO0096,NGO 96,Pune,"casual,outerwear",80,True
NGO0097,NGO 97,Jaipur,"casual,formal,outerwear,shoes",156,True
NGO0098,NGO 98,Ahmedabad,"outerwear,accessories",51,True
NGO0099,NGO 99,Ahmedabad,"shoes,children,casual,formal",222,True
NGO0100,NGO 100,Delhi,"outerwear,shoes,casual",55,False
