LogID,DonationID,State,Timestamp,Actor,Feedback,Quantity_Received
LOG000001,DON000001,submitted,2024-07-25 10:54:38,D01448,,
LOG000002,DON000001,under_review,2024-07-26 04:54:38,ADMIN001,,
LOG000003,DON000001,approved,2024-07-26 09:54:38,ADMIN001,,
LOG000004,DON000001,matched,2024-07-26 20:54:38,NGO0379,,
LOG000005,DON000001,picked_up,2024-07-29 10:54:38,D01448,,
LOG000006,DON000001,delivered,2024-07-31 10:54:38,NGO0379,Excellent,10.0
LOG000007,DON000002,submitted,2024-08-03 17:21:10,D01331,,
LOG000008,DON000002,under_review,2024-08-04 23:21:10,ADMIN001,,
LOG000009,DON000002,approved,2024-08-05 21:21:10,ADMIN001,,
LOG000010,DON000002,matched,2024-08-06 07:21:10,NGO0236,,
LOG000011,DON000002,picked_up,2024-08-11 17:21:10,D01331,,
LOG000012,DON000002,delivered,2024-08-12 17:21:10,NGO0236,Satisfactory,41.0
LOG000013,DON000003,submitted,2024-02-12 03:38:38,D01683,,
LOG000014,DON000003,under_review,2024-02-13 04:38:38,ADMIN001,,
LOG000015,DON000003,approved,2024-02-14 00:38:38,ADMIN001,,
LOG000016,DON000003,matched,2024-02-14 12:38:38,NGO0051,,
LOG000017,DON000003,picked_up,2024-02-22 03:38:38,D01683,,
LOG000018,DON000003,delivered,2024-02-27 03:38:38,NGO0051,Excellent,7.0
LOG000019,DON000004,submitted,2024-02-23 16:12:45,D02029,,
LOG000020,DON000004,under_review,2024-02-24 02:12:45,ADMIN001,,
LOG000021,DON000004,approved,2024-02-24 06:12:45,ADMIN001,,
LOG000022,DON000004,matched,2024-02-24 12:12:45,NGO0066,,
LOG000023,DON000004,picked_up,2024-02-29 16:12:45,D02029,,
LOG000024,DON000004,delivered,2024-03-03 16:12:45,NGO0066,Good,3.0
LOG000025,DON000005,submitted,2024-04-08 20:45:46,D01320,,
LOG000026,DON000005,under_review,2024-04-09 13:45:46,ADMIN001,,
LOG000027,DON000005,approved,2024-04-10 06:45:46,ADMIN001,,
LOG000028,DON000005,matched,2024-04-10 16:45:46,NGO0088,,
LOG000029,DON000005,picked_up,2024-04-10 20:45:46,D01320,,
LOG000030,DON000005,delivered,2024-04-12 20:45:46,NGO0088,Excellent,4.0
LOG000031,DON000006,submitted,2024-03-12 07:12:13,D00226,,
LOG000032,DON000006,under_review,2024-03-12 10:12:13,ADMIN001,,
LOG000033,DON000006,approved,2024-03-12 11:12:13,ADMIN001,,
LOG000034,DON000006,matched,2024-03-12 12:12:13,NGO0287,,
LOG000035,DON000006,picked_up,2024-03-22 07:12:13,D00226,,
LOG000036,DON000006,delivered,2024-03-26 07:12:13,NGO0287,Satisfactory,10.0
LOG000037,DON000007,submitted,2024-06-07 09:45:16,D01599,,
LOG000038,DON000007,under_review,2024-06-08 00:45:16,ADMIN001,,
LOG000039,DON000007,approved,2024-06-08 11:45:16,ADMIN001,,
LOG000040,DON000007,matched,2024-06-08 18:45:16,NGO0233,,
LOG000041,DON000007,picked_up,2024-06-11 09:45:16,D01599,,
LOG000042,DON000007,delivered,2024-06-12 09:45:16,NGO0233,Good,32.0
LOG000043,DON000008,submitted,2024-09-23 01:49:01,D00448,,
LOG000044,DON000008,under_review,2024-09-23 21:49:01,ADMIN001,,
LOG000045,DON000008,approved,2024-09-24 18:49:01,ADMIN001,,
LOG000046,DON000008,matched,2024-09-25 00:49:01,NGO0368,,
LOG000047,DON000008,picked_up,2024-09-29 01:49:01,D00448,,
LOG000048,DON000008,delivered,2024-10-03 01:49:01,NGO0368,Excellent,8.0
LOG000049,DON000009,submitted,2023-04-27 14:25:28,D01656,,
LOG000050,DON000009,under_review,2023-04-28 01:25:28,ADMIN001,,
LOG000051,DON000009,approved,2023-04-28 09:25:28,ADMIN001,,
LOG000052,DON000009,matched,2023-04-28 12:25:28,NGO0274,,
LOG000053,DON000009,picked_up,2023-05-05 14:25:28,D01656,,
LOG000054,DON000009,delivered,2023-05-06 14:25:28,NGO0274,Excellent,9.0
LOG000055,DON000010,submitted,2024-11-10 02:26:40,D02008,,
LOG000056,DON000010,under_review,2024-11-10 08:26:40,ADMIN001,,
LOG000057,DON000010,approved,2024-11-11 03:26:40,ADMIN001,,
LOG000058,DON000010,matched,2024-11-11 04:26:40,NGO0190,,
LOG000059,DON000010,picked_up,2024-11-17 02:26:40,D02008,,
LOG000060,DON000010,delivered,2024-11-20 02:26:40,NGO0190,Satisfactory,3.0
LOG000061,DON000011,submitted,2024-07-09 21:00:10,D00295,,
LOG000062,DON000011,under_review,2024-07-11 08:00:10,ADMIN001,,
LOG000063,DON000011,approved,2024-07-11 23:00:10,ADMIN001,,
LOG000064,DON000011,matched,2024-07-12 02:00:10,NGO0158,,
LOG000065,DON000011,picked_up,2024-07-12 21:00:10,D00295,,
LOG000066,DON000011,delivered,2024-07-13 21:00:10,NGO0158,Good,39.0
LOG000067,DON000012,submitted,2024-03-27 01:12:40,D02379,,
LOG000068,DON000012,under_review,2024-03-27 09:12:40,ADMIN001,,
LOG000069,DON000012,approved,2024-03-28 07:12:40,ADMIN001,,
LOG000070,DON000012,matched,2024-03-28 16:12:40,NGO0367,,
LOG000071,DON000012,picked_up,2024-04-03 01:12:40,D02379,,
LOG000072,DON000012,delivered,2024-04-04 01:12:40,NGO0367,Excellent,4.0
LOG000073,DON000013,submitted,2024-02-24 17:08:55,D00937,,
LOG000074,DON000013,under_review,2024-02-26 01:08:55,ADMIN001,,
LOG000075,DON000013,approved,2024-02-26 05:08:55,ADMIN001,,
LOG000076,DON000013,matched,2024-02-26 13:08:55,NGO0198,,
LOG000077,DON000013,picked_up,2024-02-27 17:08:55,D00937,,
LOG000078,DON000013,delivered,2024-03-03 17:08:55,NGO0198,Satisfactory,8.0
LOG000079,DON000014,submitted,2024-07-23 18:29:55,D02386,,
LOG000080,DON000014,under_review,2024-07-24 02:29:55,ADMIN001,,
LOG000081,DON000014,approved,2024-07-24 03:29:55,ADMIN001,,
LOG000082,DON000014,matched,2024-07-24 11:29:55,NGO0185,,
LOG000083,DON000014,picked_up,2024-08-02 18:29:55,D02386,,
LOG000084,DON000014,delivered,2024-08-06 18:29:55,NGO0185,Good,2.0
LOG000085,DON000015,submitted,2024-12-21 06:09:32,D00856,,
LOG000086,DON000015,under_review,2024-12-22 11:09:32,ADMIN001,,
LOG000087,DON000015,approved,2024-12-22 22:09:32,ADMIN001,,
LOG000088,DON000015,matched,2024-12-23 05:09:32,NGO0047,,
LOG000089,DON000015,picked_up,2024-12-31 06:09:32,D00856,,
LOG000090,DON000015,delivered,2025-01-05 06:09:32,NGO0047,Satisfactory,4.0
LOG000091,DON000016,submitted,2024-06-13 16:34:51,D02254,,
LOG000092,DON000016,under_review,2024-06-14 08:34:51,ADMIN001,,
LOG000093,DON000016,approved,2024-06-15 08:34:51,ADMIN001,,
LOG000094,DON000016,matched,2024-06-15 13:34:51,NGO0080,,
LOG000095,DON000016,picked_up,2024-06-15 16:34:51,D02254,,
LOG000096,DON000016,delivered,2024-06-18 16:34:51,NGO0080,Excellent,5.0
LOG000097,DON000017,submitted,2024-12-01 02:32:19,D00951,,
LOG000098,DON000017,under_review,2024-12-01 16:32:19,ADMIN001,,
LOG000099,DON000017,approved,2024-12-02 03:32:19,ADMIN001,,
LOG000100,DON000017,matched,2024-12-02 09:32:19,NGO0098,,
LOG000101,DON000017,picked_up,2024-12-09 02:32:19,D00951,,
LOG000102,DON000017,delivered,2024-12-11 02:32:19,NGO0098,Good,24.0
LOG000103,DON000018,submitted,2024-05-30 19:32:01,D01082,,
LOG000104,DON000018,under_review,2024-06-01 09:32:01,ADMIN001,,
LOG000105,DON000018,approved,2024-06-01 23:32:01,ADMIN001,,
LOG000106,DON000018,matched,2024-06-02 05:32:01,NGO0367,,
LOG000107,DON000018,picked_up,2024-06-03 19:32:01,D01082,,
LOG000108,DON000018,delivered,2024-06-07 19:32:01,NGO0367,Good,9.0
LOG000109,DON000019,submitted,2024-12-27 11:12:45,D00222,,
LOG000110,DON000019,under_review,2024-12-27 20:12:45,ADMIN001,,
LOG000111,DON000019,approved,2024-12-28 16:12:45,ADMIN001,,
LOG000112,DON000019,matched,2024-12-28 19:12:45,NGO0040,,
LOG000113,DON000019,picked_up,2025-01-02 11:12:45,D00222,,
LOG000114,DON000019,delivered,2025-01-04 11:12:45,NGO0040,Good,8.0
LOG000115,DON000020,submitted,2024-05-28 11:00:47,D00493,,
LOG000116,DON000020,under_review,2024-05-28 23:00:47,ADMIN001,,
LOG000117,DON000020,approved,2024-05-29 18:00:47,ADMIN001,,
LOG000118,DON000020,matched,2024-05-29 19:00:47,NGO0334,,
LOG000119,DON000020,picked_up,2024-05-30 11:00:47,D00493,,
LOG000120,DON000020,delivered,2024-05-31 11:00:47,NGO0334,Good,4.0
LOG000121,DON000021,submitted,2023-10-18 13:23:36,D00914,,
LOG000122,DON000021,under_review,2023-10-20 05:23:36,ADMIN001,,
LOG000123,DON000021,approved,2023-10-20 14:23:36,ADMIN001,,
LOG000124,DON000021,matched,2023-10-20 15:23:36,NGO0397,,
LOG000125,DON000021,picked_up,2023-10-24 13:23:36,D00914,,
