LogID,DonationID,State,Timestamp,Actor,Feedback,Quantity_Received
LOG00000001,DON00000001,submitted,2024-12-25 21:52:06,donor,,
LOG00000002,DON00000001,under_review,2024-12-27 18:52:06,auto,,
LOG00000003,DON00000001,approved,2024-12-28 14:52:06,auto,,
LOG00000004,DON00000001,matched,2024-12-28 20:52:06,auto,,
LOG00000005,DON00000001,picked_up,2025-01-03 21:52:06,ngo,,
LOG00000006,DON00000001,delivered,2025-01-08 21:52:06,ngo,"Great condition items, exactly what we needed (Rating: 5/5)",4.0
LOG00000007,DON00000002,submitted,2023-11-28 11:28:21,donor,,
LOG00000008,DON00000002,under_review,2023-11-28 17:28:21,auto,,
LOG00000009,DON00000002,rejected,2023-11-29 16:28:21,auto,Incomplete proof of authenticity,
LOG00000010,DON00000003,submitted,2025-07-28 19:33:14,donor,,
LOG00000011,DON00000003,under_review,2025-07-30 07:33:14,auto,,
LOG00000012,DON00000003,approved,2025-07-30 17:33:14,auto,,
LOG00000013,DON00000004,submitted,2024-01-27 07:28:08,donor,,
LOG00000014,DON00000004,under_review,2024-01-28 19:28:08,auto,,
LOG00000015,DON00000004,approved,2024-01-29 05:28:08,admin,,
LOG00000016,DON00000005,submitted,2025-08-17 09:16:59,donor,,
LOG00000017,DON00000005,under_review,2025-08-17 19:16:59,auto,,
LOG00000018,DON00000005,approved,2025-08-18 12:16:59,auto,,
LOG00000019,DON00000005,matched,2025-08-18 18:16:59,auto,,
LOG00000020,DON00000005,picked_up,2025-08-20 09:16:59,ngo,,
LOG00000021,DON00000005,delivered,2025-08-21 09:16:59,ngo,"Items not in described condition, some unusable (Rating: 2/5)",5.0
LOG00000022,DON00000006,submitted,2024-02-04 20:11:13,donor,,
LOG00000023,DON00000006,under_review,2024-02-04 23:11:13,auto,,
LOG00000024,DON00000006,approved,2024-02-05 12:11:13,auto,,
LOG00000025,DON00000006,matched,2024-02-05 22:11:13,auto,,
LOG00000026,DON00000006,picked_up,2024-02-07 20:11:13,ngo,,
LOG00000027,DON00000006,delivered,2024-02-13 20:11:13,ngo,"Excellent quality donations, very helpful for our beneficiaries (Rating: 4/5)",10.0
LOG00000028,DON00000007,submitted,2025-07-24 07:46:57,donor,,
LOG00000029,DON00000007,under_review,2025-07-26 01:46:57,auto,,
LOG00000030,DON00000007,approved,2025-07-26 20:46:57,auto,,
LOG00000031,DON00000007,matched,2025-07-27 03:46:57,auto,,
LOG00000032,DON00000007,picked_up,2025-07-29 07:46:57,ngo,,
LOG00000033,DON00000007,delivered,2025-08-04 07:46:57,ngo,"Items not in described condition, some unusable (Rating: 1/5)",1.0
LOG00000034,DON00000008,submitted,2024-07-22 18:09:11,donor,,
LOG00000035,DON00000008,under_review,2024-07-23 04:09:11,auto,,
LOG00000036,DON00000008,rejected,2024-07-23 23:09:11,auto,"Hygiene concerns, items need cleaning",
LOG00000037,DON00000009,submitted,2024-01-23 04:40:27,donor,,
LOG00000038,DON00000009,under_review,2024-01-23 08:40:27,auto,,
LOG00000039,DON00000009,approved,2024-01-23 17:40:27,admin,,
LOG00000040,DON00000009,matched,2024-01-24 02:40:27,auto,,
LOG00000041,DON00000009,picked_up,2024-01-26 04:40:27,ngo,,
LOG00000042,DON00000010,submitted,2024-02-28 11:47:51,donor,,
LOG00000043,DON00000010,under_review,2024-02-29 18:47:51,auto,,
LOG00000044,DON00000010,approved,2024-03-01 05:47:51,auto,,
LOG00000045,DON00000010,matched,2024-03-01 10:47:51,auto,,
LOG00000046,DON00000010,picked_up,2024-03-07 11:47:51,ngo,,
LOG00000047,DON00000010,delivered,2024-03-12 11:47:51,ngo,Several items damaged or too worn (Rating: 2/5),8.0
LOG00000048,DON00000011,submitted,2024-12-16 03:24:41,donor,,
LOG00000049,DON00000011,under_review,2024-12-17 21:24:41,auto,,
LOG00000050,DON00000011,approved,2024-12-18 12:24:41,auto,,
LOG00000051,DON00000011,matched,2024-12-18 23:24:41,auto,,
LOG00000052,DON00000011,picked_up,2024-12-21 03:24:41,ngo,,
LOG00000053,DON00000012,submitted,2024-06-19 13:56:20,donor,,
LOG00000054,DON00000012,under_review,2024-06-20 21:56:20,auto,,
LOG00000055,DON00000012,rejected,2024-06-21 07:56:20,auto,Incomplete proof of authenticity,
LOG00000056,DON00000013,submitted,2025-05-17 20:05:39,donor,,
LOG00000057,DON00000013,under_review,2025-05-19 14:05:39,auto,,
