NGO_ID,Name,City,Latitude,Longitude,Cause,Special_Focus,Urgent_Need,Capacity_per_week,Acceptance_Rate,Contact
NGO00001,Sandoval-Bush Foundation,Hyderabad,17.344882556049328,78.4513490634119,Rural_Development,rural,False,496,0.9145181747373454,9824082602
NGO00002,"Collins, Moore and Harvey Foundation",Pune,18.529057495142695,73.95187041586873,Elderly_Care,"women, children",True,471,0.9729047506326083,507-593-4840
NGO00003,Booker Inc Foundation,Thane,19.148408162652906,73.06271716384788,Elderly_Care,children,False,413,0.7043376243582467,983-885-2577x231
NGO00004,"Brown, Dennis and Wolf Foundation",Pune,18.469618827219087,73.87218188965876,Environment,"disabled, rural",False,282,0.7374252245469074,+1-811-706-0125x053
NGO00005,Lee PLC Foundation,Mumbai,19.130629720166297,72.7952213404901,Elderly_Care,women,True,493,0.6382116426617588,(495)231-1038
NGO00006,Watson-Nguyen Foundation,Indore,22.744679525976082,75.92109369009496,Poverty_Alleviation,rural,False,303,0.866707722193202,+1-647-586-4809x3099
NGO00007,Tran Ltd Foundation,Indore,22.620420290086034,75.82628702316734,Environment,"rural, disabled",False,140,0.6403962120989215,622.231.6612
NGO00008,"Sanders, Morrison and Carter Foundation",Indore,22.645203541728332,75.90873745484964,Elderly_Care,"disabled, women",False,133,0.6763308795628299,001-740-861-2825
NGO00009,Gonzalez-Hughes Foundation,Bhopal,23.234898428989315,77.4257120586916,Child_Welfare,women,True,370,0.6173207750897094,732-414-9741x9205
NGO00010,Pruitt-Lopez Foundation,Lucknow,26.764950113856447,80.93348967976463,Poverty_Alleviation,rural,False,456,0.6782866136307228,001-547-523-6173
NGO00011,Burke Group Foundation,Bhopal,23.18925937947541,77.45106723298194,Disability_Support,rural,True,195,0.7498136224394258,001-477-345-6504x4354
NGO00012,Nolan and Sons Foundation,Nagpur,21.086295712828278,79.12185188744164,Poverty_Alleviation,"disabled, elderly",False,117,0.9563704467883736,001-360-633-2236
NGO00013,"Burgess, Haas and Baker Foundation",Indore,22.78132160638189,75.80486721037997,Elderly_Care,elderly,False,204,0.6426636481649857,562-976-0235x61146
NGO00014,Miles-Adams Foundation,Thane,19.22040301867773,72.90995921849422,Rural_Development,"women, rural",True,406,0.7649035177621746,(342)387-9829x8201
NGO00015,Mendez-Chambers Foundation,Hyderabad,17.333292845639846,78.39916354500984,Poverty_Alleviation,"rural, women",False,409,0.8065259939292808,604.468.4350x433
NGO00016,"Aguirre, Walker and Bolton Foundation",Lucknow,26.855550275455112,81.00705621871244,Poverty_Alleviation,"elderly, children",False,168,0.7650099447123304,(970)617-4783x96761
NGO00017,Boyer Group Foundation,Bengaluru,13.01677061686768,77.65265654707457,Elderly_Care,"women, children",False,93,0.6709971099750793,401-682-4926
NGO00018,"Hall, Boyd and Wood Foundation",Thane,19.127486006445817,72.90042063989037,Poverty_Alleviation,elderly,False,308,0.7498507744287326,001-796-230-3969x4824
